id,date,category,country,city,site,gps_position_lat,gps_position_long,maritime location,stand,type,circuit,gas,duration(min),depth(m)
2H,2005-01-16,Hobbies,France,Marseille,Les moyades,,,Mediterranean sea,Boat,Technical,Open circuit,AIr,43,"24,5"
3H,2005-05-01,Hobbies,France,Marseille,La grotte mystérieuse,,,Mediterranean sea,Boat,Exploration,Open circuit,Air,37,17
4H,2005-05-22,Hobbies,France,Cassis,Les pierres plates,,,Mediterranean sea,Seaside,Technical,Open circuit,Air,57,"18,1"
5H,2005-07-14,Hobbies,France,Marseille,La pointe du soldat,,,Mediterranean sea,Boat,Exploration,Open circuit,Air,48,16
6H,2005-09-04,Hobbies,France,Marseille,Pain de sucre,,,Mediterranean sea,Boat,Exploration,Open circuit,Air,33,19
7H,2005-10-02,Hobbies,France,Marseille,Calanque de la Poire,,,Mediterranean sea,Boat,Exploration,Open circuit,Air,48,25
8H,2005-10-09,Hobbies,France,Marseille,,,,Mediterranean sea,Boat,Exploration,Open circuit,Air,37,23
9H,2006-06-11,Hobbies,France,Marseille,Tiboulen de maïre,,,Mediterranean sea,Boat,Exploration,Open circuit,Air,46,21
10H,2006-10-07,Hobbies,France,Marseille,La Piscine,,,Mediterranean sea,Boat,Exploration,Open circuit,Air,47,20
11H,2006-10-08,Hobbies,France,Marseille,,,,Mediterranean sea,Boat,Exploration,Open circuit,Air,47,16
12H,2006-10-08,Hobbies,France,Marseille,,,,Mediterranean sea,Boat,Exploration,Open circuit,Air,50,21
13H,2007-04-06,Hobbies,France,Marseille,,,,Mediterranean sea,Boat,Exploration,Open circuit,Air,39,25
14H,2007-04-09,Hobbies,Spain,Palamós,Llosa de Palamós,,,Mediterranean sea,Boat,Exploration,Open circuit,Air,30,30
15H,2007-05-18,Hobbies,Spain,Palamós,Boreas,,,Mediterranean sea,Boat,Wreck,Open circuit,Air,25,26
16H,2007-05-19,Hobbies,Spain,Palamós,,,,Mediterranean sea,Boat,Exploration,Open circuit,Air,25,26
17H,2007-05-20,Hobbies,Spain,Palamós,Boreas,,,Mediterranean sea,Boat,Exploration,Open circuit,Air,35,33
18H,2007-07-14,Hobbies,France,Marseille,Anse Marlet,,,Mediterranean sea,Boat,Exploration,Open circuit,Air,49,20
19H,2007-07-14,Hobbies,France,Marseille,Anse Marlet,,,Mediterranean sea,Boat,Exploration,Open circuit,Air,45,21
20H,2007-10-17,Hobbies,France,Marseille,Méjean,,,Mediterranean sea,Boat,Exploration,Open circuit,Air,40,11
21H,2007-10-24,Hobbies,France,Sète,L'Obéron,,,Mediterranean sea,Boat,Wreck,Open circuit,Air,30,12
22H,2007-11-14,Hobbies,France,Sète,Le Tas de la Mer,,,Mediterranean sea,Boat,Technical,Open circuit,Air,14,"4,2"
23H,2008-03-16,Hobbies,Egypt,El Quseir,Le Bestouan,,,Red sea,Seaside,Cave diving,Open circuit,Air,25,"22,1"
24H,2008-03-15,Hobbies,Egypt,El Quseir,Le rife,,,Red sea,Seaside,Exploration,Open circuit,Air,42,"25,2"
25H,2008-04-16,Hobbies,Egypt,El Quseir,Le rife,,,Red sea,Seaside,Exploration,Open circuit,Air,45,"31,8"
26H,2008-04-16,Hobbies,Egypt,El Quseir,Le rife,,,Red sea,Seaside,Exploration,Open circuit,Air,47,"32,1"
27H,2008-04-16,Hobbies,Egypt,El Quseir,Le rife,,,Red sea,Seaside,Exploration,Open circuit,Air,53,"20,7"
28H,2008-04-17,Hobbies,Egypt,El Quseir,Safari,,,Red sea,Boat,Exploration,Open circuit,Air,45,"15,3"
29H,2008-04-18,Hobbies,Egypt,El Quseir,,,,Red sea,Boat,Exploration,Open circuit,Air,57,"20,2"
30H,2008-04-18,Hobbies,Egypt,El Quseir,,,,Red sea,Boat,Exploration,Open circuit,Air,46,"17,1"
31H,2008-04-19,Hobbies,Egypt,El Quseir,Erg Monika,,,Red sea,Boat,Exploration,Open circuit,Air,42,"17,1"
32H,2008-04-19,Hobbies,Egypt,El Quseir,Rife nord,,,Red sea,Seaside,Night diving,Open circuit,Air,46,"19,5"
33H,2008-07-27,Hobbies,France,Marseille,La grotte à Péres,,,Mediterranean sea,Boat,Exploration,Open circuit,Air,46,"25,8"
34H,2008-11-10,Hobbies,Turkey,Antalya,,,,Mediterranean sea,Boat,Wreck,Open circuit,Air,30,32
35H,2008-11-10,Hobbies,Turkey,Antalya,,,,Mediterranean sea,Boat,Exploration,Open circuit,Air,40,24
36H,2009-02-28,Hobbies,Spain,Llafranc,Les failles,,,Mediterranean sea,Boat,Exploration,Open circuit,Air,40,32
37H,2009-02-28,Hobbies,Spain,Llafranc,,,,Mediterranean sea,Boat,Exploration,Open circuit,Air,37,30
38H,2008-03-01,Hobbies,Spain,Llafranc,,,,Mediterranean sea,Boat,Exploration,Open circuit,Air,42,27
39H,2009-05-08,Hobbies,Spain,Rosas,"Le chat, pic supérieur",,,Mediterranean sea,Boat,Exploration,Open circuit,Air,40,"26,4"
40H,2009-05-09,Hobbies,Spain,Rosas,"Le chat, pic inférieur",,,Mediterranean sea,Boat,Exploration,Open circuit,Air,39,25
41H,2009-05-09,Hobbies,Spain,Rosas,Cap Trencat,,,Mediterranean sea,Boat,Technical,Open circuit,Air,38,"23,2"
42H,2009-05-10,Hobbies,Spain,Rosas,Poema,,,Mediterranean sea,Boat,Exploration,Open circuit,Air,45,"27,6"
43H,2009-07-12,Hobbies,France,Marseille,Le Dalton,,,Mediterranean sea,Boat,Wreck,Open circuit,Air,36,"33,6"
44H,2009-09-20,Hobbies,France,Bonifacio,La tête d'homme,,,Mediterranean sea,Boat,Exploration,Open circuit,Air,37,"38,5"
45H,2009-09-20,Hobbies,France,Bonifacio,Les cloches,,,Mediterranean sea,Boat,Exploration,Open circuit,Air,51,"13,8"
46H,2009-10-25,Hobbies,France,Marseille,Les impériaux,,,Mediterranean sea,Boat,Exploration,Open circuit,Air,40,"24,3"
47H,2009-11-05,Hobbies,France,Sète,Le barrou,,,Thau Lagoon,Seaside,Scientific,Open circuit,Air,50,"3,1"
48H,2009-11-19,Hobbies,France,Sète,Le barrou,,,Thau Lagoon,Seaside,Scientific,Open circuit,Air,50,"0,3"
49H,2009-12-13,Hobbies,France,Cassis,,,,Mediterranean sea,Seaside,Exploration,Open circuit,Air,61,"14,5"
50H,2010-04-04,Hobbies,France,Cassis,,,,Mediterranean sea,Seaside,Exploration,Open circuit,Air,45,16
51H,2010-05-01,Hobbies,France,Marseille,Tiboulen de maïre,,,Mediterranean sea,Boat,Exploration,Open circuit,Air,43,"22,8"
52H,2010-06-14,Hobbies,France,Sète,Roquerols,,,Thau Lagoon,Boat,Scientific,Open circuit,Air,45,"3,7"
53H,2010-06-15,Hobbies,France,Sète,Les patates,,,Thau Lagoon,Boat,Exploration,Open circuit,Air,50,13
54H,2010-06-15,Hobbies,France,Sète,Roquerols,,,Thau Lagoon,Boat,Scientific,Open circuit,Air,48,"3,6"
55H,2010-06-16,Hobbies,France,Sète,Roquerols,,,Thau Lagoon,Boat,Scientific,Open circuit,Air,55,"3,6"
56H,2010-06-16,Hobbies,France,Sète,Digue Est,,,Thau Lagoon,Boat,Scientific,Open circuit,Air,36,"10,2"
57H,2010-06-17,Hobbies,France,Sète,Ponton de la Bordelaise,,,Thau Lagoon,Boat,Scientific,Open circuit,Air,40,"7,2"
58H,2010-06-17,Hobbies,France,Sète,Les patates,,,Thau Lagoon,Boat,Scientific,Open circuit,Air,"11,9",40
59H,2010-06-18,Hobbies,France,Sète,L'Obéron,,,Mediterranean sea,Boat,Wreck,Open circuit,Air,56,"12,3"
60H,2010-06-21,Hobbies,France,Marseille,Île du Frioul,,,Mediterranean sea,Boat,Exploration,Open circuit,Air,34,21
61H,2010-06-22,Hobbies,France,Marseille,Caramassaigne,,,Mediterranean sea,Boat,Exploration,Open circuit,Air,33,"27,3"
62H,2010-06-22,Hobbies,France,Marseille,Tunnel de l'île Plane,,,Mediterranean sea,Boat,Exploration,Open circuit,Air,24,"15,3"
63H,2010-06-23,Hobbies,France,Marseille,Île du Planier,,,Mediterranean sea,Boat,Wreck,Open circuit,Air,36,"39,8"
64H,2010-06-23,Hobbies,France,Marseille,Île du Planier,,,Mediterranean sea,Boat,Exploration,Open circuit,Air,33,18
65H,2010-06-24,Hobbies,France,Marseille,Îlot de Tiboulen du Frioul,,,Mediterranean sea,Boat,Exploration,Open circuit,Air,53,"38,2"
66H,2010-06-24,Hobbies,France,Marseille,Le dôme de la pierre à corb,,,Mediterranean sea,Boat,Exploration,Open circuit,Air,35,"16,8"
67H,2010-06-25,Hobbies,France,Marseille,Les moyades,,,Mediterranean sea,Boat,Exploration,Open circuit,Air,45,"24,5"
68H,2010-09-18,Hobbies,Spain,Llafranc,,,,Mediterranean sea,Boat,Exploration,Open circuit,Air,46,"24,7"
69H,2010-09-18,Hobbies,Spain,Llafranc,Ullastre II,,,Mediterranean sea,Boat,Exploration,Open circuit,Air,39,"25,6"
70H,2010-09-19,Hobbies,Spain,Llafranc,Ullastre III,,,Mediterranean sea,Boat,Exploration,Open circuit,Air,47,"33,1"
71H,2011-01-30,Hobbies,France,Marseille,Les moyades,,,Mediterranean sea,Boat,Exploration,Open circuit,Air,23,20
72H,2011-02-20,Hobbies,France,Marseille,Les Impériaux,,,Mediterranean sea,Boat,Exploration,Open circuit,Air,44,"25,3"
73H,2011-04-20,Hobbies,France,Sète,Tables ostréicoles,,,Thau Lagoon,Boat,Exploration,Open circuit,Air,44,"4,5"
75H,2011-04-24,Hobbies,France,Marseille,Le Chaouen,,,Mediterranean sea,Boat,Wreck,Open circuit,Air,54,20
77H,2011-05-08,Hobbies,France,Marseille,Tiboulen de maïre,,,Mediterranean sea,Boat,Exploration,Open circuit,Air,53,20
78H,2011-05-22,Hobbies,France,Carro,Le Siphon,,,Mediterranean sea,Seaside,Exploration,Open circuit,Air,62,13
79H,2011-06-19,Hobbies,France,Marseille,Cap Caveaux,,,Mediterranean sea,Boat,Exploration,Open circuit,Air,57,20
80H,2011-07-10,Hobbies,France,Marseille,Caramassaigne,,,Mediterranean sea,Boat,Exploration,Open circuit,Air,58,"16,6"
81H,2011-08-14,Hobbies,France,Marseille,Le Liban,,,Mediterranean sea,Boat,Wreck,Open circuit,Air,44,"35,4"
82H,2011-08-28,Hobbies,France,Marseille,La grotte à Péres,,,Mediterranean sea,Boat,Exploration,Open circuit,Air,56,20
83H,2011-11-06,Hobbies,France,Marseille,Tiboulen de maïre,,,Mediterranean sea,Boat,Exploration,Open circuit,Air,41,"38,5"
84H,2011-12-11,Hobbies,France,Cassis,Les pierres plates,,,Mediterranean sea,Seaside,Exploration,Open circuit,Air,64,"19,9"
85H,2012-03-11,Hobbies,France,Cassis,La Grande Faille,,,Mediterranean sea,Seaside,Cave diving,Open circuit,Air,33,20
86H,2012-03-18,Hobbies,France,Marseille,Le petit Congloué,,,Mediterranean sea,Boat,Technical,Open circuit,Air,45,34
87H,2012-04-15,Hobbies,France,Marseille,La grotte à Péres,,,Mediterranean sea,Boat,Exploration,Open circuit,Air,43,"36,8"
88H,2012-05-12,Hobbies,Spain,L'Estartit,Punta salina,,,Mediterranean sea,Boat,Exploration,Open circuit,Air,63,25
89H,2012-05-12,Hobbies,Spain,L'Estartit,Cavall Bernat,,,Mediterranean sea,Boat,Exploration,Open circuit,Air,57,26
90H,2012-01-13,Hobbies,Spain,L'Estartit,La Vaca,,,Mediterranean sea,Boat,Exploration,Open circuit,Air,54,22
91H,2012-06-15,Hobbies,Indonesia,Tumbak,,,,Moluccan sea,Boat,Exploration,Open circuit,Air,33,"40,5"
92H,2012-06-15,Hobbies,Indonesia,Tumbak,,,,Moluccan sea,Boat,Exploration,Open circuit,Air,45,"23,6"
93H,2012-06-17,Hobbies,Indonesia,Tumbak,,,,Moluccan sea,Boat,Exploration,Open circuit,Air,36,"21,4"
94H,2012-06-17,Hobbies,Indonesia,Tumbak,,,,Moluccan sea,Boat,Exploration,Open circuit,Air,43,"24,8"
95H,2012-07-27,Hobbies,Indonesia,Bunaken,,,,Celebe sea,Boat,Exploration,Open circuit,Air,54,"26,2"
96H,2012-07-27,Hobbies,Indonesia,Bunaken,,,,Celebe sea,Boat,Exploration,Open circuit,Air,70,"20,9"
97H,2012-07-27,Hobbies,Indonesia,Bunaken,,,,Celebe sea,Boat,Exploration,Open circuit,Air,60,"28,6"
98H,2012-07-28,Hobbies,Indonesia,Bunaken,,,,Celebe sea,Boat,Exploration,Open circuit,Air,55,"34,1"
99H,2012-07-28,Hobbies,Indonesia,Bunaken,,,,Celebe sea,Boat,Exploration,Open circuit,Air,74,"37,4"
100H,2012-08-25,Hobbies,Indonesia,Bunaken,,,,Celebe sea,Boat,Exploration,Open circuit,Air,61,"27,8"
101H,2012-08-25,Hobbies,Indonesia,Bunaken,,,,Celebe sea,Boat,Exploration,Open circuit,Air,72,"26,1"
102H,2012-08-26,Hobbies,Indonesia,Bunaken,,,,Celebe sea,Boat,Exploration,Open circuit,Air,52,"27,5"
103H,2013-04-07,Hobbies,France,Marseille,La grotte à Péres,,,Mediterranean sea,Boat,Exploration,Open circuit,Air,46,40
104H,2013-05-19,Hobbies,France,Marseille,La grotte à Péres,,,Mediterranean sea,Boat,Exploration,Open circuit,Air,36,43
105H,2013-06-16,Hobbies,France,Marseille,Les Impériaux,,,Mediterranean sea,Boat,Exploration,Open circuit,Air,43,40
106H,2013-08-04,Hobbies,France,Marseille,Les Impériaux,,,Mediterranean sea,Boat,Exploration,Open circuit,Air,46,"42,3"
107H,2013-08-04,Hobbies,France,Marseille,Les Pharillons,,,Mediterranean sea,Boat,Exploration,Open circuit,Air,43,20
108H,2014-03-08,Hobbies,France,Marseille,La Boulegeade,,,Mediterranean sea,Boat,Exploration,Open circuit,Air,52,28
109H,2014-04-04,Hobbies,France,Sausset-les-Pins,Jardin de Sausset,,,Mediterranean sea,Seaside,Exploration,Open circuit,Air,43,"8,3"
110H,2014-04-08,Hobbies,France,Sausset-les-Pins,Jardin de Sausset,,,Mediterranean sea,Seaside,Exploration,Open circuit,Air,36,"13,5"
111H,2014-06-07,Hobbies,Spain,Cala Montjoi,Le chat,,,Mediterranean sea,Boat,Exploration,Open circuit,Air,38,"33,7"
112H,2014-06-07,Hobbies,Spain,Cala Montjoi,Grotte du pélerin,,,Mediterranean sea,Boat,Exploration,Open circuit,Air,51,"27,9"
113H,2014-06-08,Hobbies,Spain,Cala Montjoi,Cap Trecat,,,Mediterranean sea,Boat,Exploration,Open circuit,Air,48,"28,5"
114H,2014-06-08,Hobbies,Spain,Cala Montjoi,Bisbe,,,Mediterranean sea,Boat,Exploration,Open circuit,Air,45,29
115H,2014-06-09,Hobbies,Spain,Cala Montjoi,Pointe à mérou,,,Mediterranean sea,Boat,Exploration,Open circuit,Air,38,"24,8"
116H,2014-09-26,Hobbies,France,Brest,Le Dellec,,,Iroise sea,Boat,Exploration,Open circuit,Air,42,"11,3"
117H,2014-10-03,Hobbies,France,Brest,Le duc d'Albe,,,Iroise sea,Boat,Exploration,Open circuit,Air,41,"18,4"
118H,2014-10-10,Hobbies,France,Brest,,,,Iroise sea,Boat,Exploration,Open circuit,Air,39,"12,1"
119H,2014-10-17,Hobbies,France,Brest,Île Ronde,,,Iroise sea,Boat,Exploration,Open circuit,Air,33,"15,8"
120H,2014-10-25,Hobbies,France,Brest,Île Ronde,,,Iroise sea,Boat,Exploration,Open circuit,Air,46,"12,1"
121H,2014-11-14,Hobbies,France,Brest,Île Ronde,,,Iroise sea,Boat,Exploration,Open circuit,Air,44,"13,8"
122H,2014-11-21,Hobbies,France,Brest,Le duc d'Albe,,,Iroise sea,Boat,Exploration,Open circuit,Air,38,"21,3"
123H,2014-11-28,Hobbies,France,Brest,Le duc d'Albe,,,Iroise sea,Boat,Exploration,Open circuit,Air,26,17
124H,2014-11-28,Hobbies,France,Brest,Île Ronde,,,Iroise sea,Boat,Exploration,Open circuit,Air,31,"5,9"
125H,2015-04-26,Hobbies,Guadeloupe,Malendure,Le jardin de corail,,,Caribbean sea,Boat,Exploration,Open circuit,Air,60,"20,2"
126H,2015-05-02,Hobbies,Guadeloupe,Malendure,La Caye,,,Caribbean sea,Boat,Exploration,Open circuit,Air,64,"12,7"
127H,2015-06-07,Hobbies,Guadeloupe,Malendure,La Pointe aux Carangues,,,Caribbean sea,Boat,Exploration,Open circuit,Air,60,40
128H,2015-10-09,Hobbies,France,Brest,Île Ronde,,,Iroise sea,Boat,Exploration,Open circuit,Air,22,6
129H,2015-10-15,Hobbies,France,Brest,Le duc d'Albe,,,Iroise sea,Boat,Exploration,Open circuit,Air,36,"16,9"
130H,2015-10-16,Hobbies,France,Brest,Le tombant neuf,,,Iroise sea,Boat,Exploration,Open circuit,Air,41,"28,9"
131H,2015-11-26,Hobbies,France,Brest,La pointe Robert,,,Iroise sea,Boat,Exploration,Open circuit,Air,42,11
132H,2015-11-27,Hobbies,France,Brest,La Cormorandière,,,Iroise sea,Boat,Exploration,Open circuit,Air,46,"19,6"
133H,2016-04-30,Hobbies,France,Carnon,,,,Mediterranean sea,Boat,Technical,Open circuit,Nitrox,38,17
134H,2016-04-30,Hobbies,France,Carnon,La Citerne,,,Mediterranean sea,Boat,Technical,Open circuit,Nitrox,40,12
135H,2016-05-16,Hobbies,France,Carnon,Pierre Jacques,,,Mediterranean sea,Boat,Technical,Open circuit,Nitrox,54,"21,2"
136H,2016-05-24,Hobbies,France,Carnon,Le roc,,,Mediterranean sea,Boat,Night diving,Open circuit,Air,53,"10,5"
137H,2016-06-13,Hobbies,France,Villefranche-sur-Mer,Saint-Jean-Cap-Ferrat,,,Mediterranean sea,Boat,Experience,Closed circuit rebreather,Nitrox,45,15
138H,2016-07-15,Hobbies,France,Carnon,Les trois arches,,,Mediterranean sea,Boat,Night diving,Open circuit,Air,61,"6,6"
139H,2016-07-17,Hobbies,France,Carnon,Le Suédois,,,Mediterranean sea,Boat,Wreck,Open circuit,Nitrox,52,36
140H,2016-07-17,Hobbies,France,Carnon,Les trois arches,,,Mediterranean sea,Boat,Exploration,Open circuit,Air,18,"5,6"
141H,2016-07-17,Hobbies,France,Carnon,Les trois arches,,,Mediterranean sea,Boat,Exploration,Open circuit,Air,13,"5,6"
142H,2016-07-17,Hobbies,France,Carnon,La Citerne,,,Mediterranean sea,Boat,Exploration,Open circuit,Air,39,"12,2"
143H,2016-08-04,Hobbies,France,Carnon,La Citerne,,,Mediterranean sea,Boat,Night diving,Open circuit,Air,45,12
144H,2016-08-08,Hobbies,France,Carnon,Le surf,,,Mediterranean sea,Boat,Exploration,Open circuit,Air,56,"13,6"
145H,2016-08-19,Hobbies,France,Carnon,Les trois arches,,,Mediterranean sea,Boat,Exploration,Open circuit,Air,62,"6,7"
146H,2016-09-20,Hobbies,Corsica,Calvi,La Revellata,,,Mediterranean sea,Boat,Exploration,Open circuit,Air,51,32
147H,2016-10-03,Hobbies,France,Marseille,Cap Caveaux,,,Mediterranean sea,Boat,Technical,Closed circuit rebreather,Nitrox,52,"26,8"
148H,2016-10-03,Hobbies,France,Marseille,Cap Caveaux,,,Mediterranean sea,Boat,Technical,Closed circuit rebreather,Nitrox,52,"20,3"
149H,2016-10-04,Hobbies,France,Marseille,Les Moyades,,,Mediterranean sea,Boat,Technical,Closed circuit rebreather,Nitrox,58,"17,9"
150H,2016-10-04,Hobbies,France,Marseille,Les Moyades,,,Mediterranean sea,Boat,Technical,Closed circuit rebreather,Nitrox,40,24
151H,2016-10-05,Hobbies,France,Marseille,La grotte à Péres,,,Mediterranean sea,Boat,Technical,Closed circuit rebreather,Nitrox,73,"42,9"
152H,2016-10-05,Hobbies,France,Marseille,Calanque de Pouars,,,Mediterranean sea,Boat,Technical,Closed circuit rebreather,Nitrox,44,"32,7"
153H,2016-10-06,Hobbies,France,Marseille,Caramassaigne,,,Mediterranean sea,Boat,Technical,Closed circuit rebreather,Nitrox,92,"51,4"
154H,2016-10-07,Hobbies,France,Marseille,La  Drôme,,,Mediterranean sea,Boat,Technical,Closed circuit rebreather,Trimix 20/20,45,"51,1"
155H,2017-02-03,Hobbies,Monaco,Monaco,Port Hercule,,,Mediterranean sea,Seaside,Exploration,Open circuit,Air,36,"35,1"
156H,2017-05-21,Hobbies,Monaco,Monaco,Port de Fontvieille,,,Mediterranean sea,Seaside,Exploration,Closed circuit rebreather,Nitrox,97,"19,2"
157H,2017-05-30,Hobbies,France,Marseille,Cassidaigne,,,Mediterranean sea,Boat,Technical,Closed circuit rebreather,Nitrox,60,30
158H,2017-08-12,Hobbies,France,Larmor-Plage,Talik beach,,,Atlantic,Boat,Exploration,Closed circuit rebreather,Nitrox,51,"12,1"
159H,2017-08-13,Hobbies,France,Larmor-Plage,U-171,,,Atlantic,Boat,Wreck,Closed circuit rebreather,Nitrox,34,"39,2"
160H,2017-08-13,Hobbies,France,Larmor-Plage,Le barrage ,,,Atlantic,Boat,Exploration,Closed circuit rebreather,Nitrox,51,"10,3"
